Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 544,Rosemead,Los Angeles,91770,L,0,,"115,310.00","103,539.00",,up to $1M,Class 1,Professional Services ,All Other Support Services,Professional Services
Company 545,Pasadena,Los Angeles,91101,R,21,,"4,675,000.00","560,000.00",,up to $1M,Class 1,Healthcare ,Offices of Lawyers,Healthcare
Company 546,El Segundo,Los Angeles,90245,N,180,,"35,162,406.00","25,368,000.00","24,089,527.00",$10M to $50M,Class 3,Professional Services ,Payroll Services ,Professional Services
Company 547,Valencia,Los Angeles,91355,R,3,,"708,908.73","749,005.28","796,292.62",up to $1M,Class 1,Consumer Products Manufacturing Suppliers Professional Services ,Insurance Agencies and Brokerages ,Consumer Products
Company 548,Burbank,Los Angeles,91502,R,3,,,,,up to $1M,Class 1,Professional Services ,All Other Information Services,Professional Services
Company 549,Pomona,Los Angeles,91768,R,30,,"19,000,000.00","20,000,000.00","19,500,000.00",$1M to $10M,Class 2,Food and Beverage Healthcare Utilities ,All Other Specialty Trade Contractors,Food and Beverage
Company 550,Los Angeles,Los Angeles,90034,N,33,,"10,880,667.00","18,000,570.00","23,320,000.00",$10M to $50M,Class 3,Automotive Consumer Products Professional Services ,Advertising Agencies,Automotive
Company 551,North Hills,Los Angeles,91343,L,1,,"10,001.00","10,002.00",0,up to $1M,Class 1,Healthcare Transportation Utilities ,Insurance Agencies and Brokerages ,Healthcare
Company 552,San Fernando,Los Angeles,91340,L,43,,"9,145,561.74","11,244,967.06","11,841,289.25",$10M to $50M,Class 3,Utilities ,Electrical Contractors and Other Wiring Installation Contractors,Utilities
Company 553,Los Angeles,Los Angeles,90025,L,5,,"2,021,877.00",,,$1M to $10M,Class 2,Professional Services ,Electrical Contractors and Other Wiring Installation Contractors,Professional Services
Company 554,Valley Village,Los Angeles,91607,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 555,BURBANK,Los Angeles,91506,L,3,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Temporary Help Services,"Advertising, Entertainment, Media and Sports"
Company 556,Los Angeles,Los Angeles,90045,N,4,,,,,$1M to $10M,Class 2,Healthcare Professional Services Transportation ,Architectural Services,Healthcare
Company 557,Glendale,Los Angeles,91202,N,53,,"16,596,303.00","13,018,067.00","12,331,402.98",$10M to $50M,Class 3,Professional Services Transportation Utilities ,"All Other Professional, Scientific, and Technical Services",Professional Services
Company 558,Los Angeles,Los Angeles,90005,L,1,,,,,up to $1M,Class 1,Professional Services Technology Utilities ,Other Scientific and Technical Consulting Services,Professional Services
Company 559,San Fernando,Los Angeles,91340,R,15,,"4,359,559.00","5,711,804.00","7,261,318.00",$1M to $10M,Class 2,Retail and Apparel ,"Brick, Stone, and Related Construction Material Merchant Wholesalers",Retail and Apparel
Company 560,Los Angeles,Los Angeles,90037,N,1,,,,,up to $1M,Class 1,Automotive Healthcare Utilities ,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Automotive
Company 561,Calabasas,Los Angeles,91301,I,213,,46.45,59.8,66.75,up to $1M,Class 1,Financial Services Healthcare Retail and Apparel ,Administrative Management and General Management Consulting Services ,Financial Services
Company 562,Pacific Palisades,Los Angeles,90272,N,2,,"3,647,930.44","4,271,655.13","5,922,439.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production ,"Advertising, Entertainment, Media and Sports"
Company 563,Pasadena,Los Angeles,91105,L,4,,"733,734.00","764,844.49","627,242.55",up to $1M,Class 1,Manufacturing Suppliers Professional Services Retail and Apparel ,Marketing Consulting Services ,Manufacturing Suppliers
Company 564,Santa Fe Springs,Los Angeles,90670,L,23,,,,,$1M to $10M,Class 2,Consumer Products Food and Beverage Professional Services ,Commercial and Institutional Building Construction,Consumer Products
Company 565,DOWNEY,Los Angeles,90241,L,2,,"798,814.00","714,219.80","1,551,505.57",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Marketing Consulting Services ,"Advertising, Entertainment, Media and Sports"
Company 566,Cerritos,Los Angeles,90703,I,5,,"3,499,800.08","3,443,725.00","3,140,985.04",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Healthcare Manufacturing Suppliers ",Computer Systems Design Services,"Advertising, Entertainment, Media and Sports"
Company 567,Santa Fe Springs,Los Angeles,90670,L,6,,,,,$1M to $10M,Class 2,Automotive Transportation ,Coastal and Great Lakes Freight Transportation ,Automotive
Company 568,Carson,Los Angeles,90745,L,1,,"175,000.00","225,000.00","79,250.00",up to $1M,Class 1,Professional Services ,Offices of Real Estate Agents and Brokers,Professional Services
Company 569,San Gabriel,Los Angeles,91776,N,12,,,,,$1M to $10M,Class 2,Food and Beverage Healthcare Transportation ,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Food and Beverage
Company 570,San Fernando,Los Angeles,91340,N,3,,"174,031.00","280,343.00","348,302.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Motion Picture and Video Production ,"Advertising, Entertainment, Media and Sports"
Company 571,Hawthorne,Los Angeles,90250,L,2,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Professional Services ",Caterers,"Advertising, Entertainment, Media and Sports"
Company 572,Montebello,Los Angeles,90640,I,60,,"20,963,409.00","31,694,448.00","54,207,511.00",over $50M,Class 4,Consumer Products Food and Beverage Manufacturing Suppliers ,Tortilla Manufacturing,Consumer Products
Company 573,Los Angeles,Los Angeles,90017,N,12,,"2,119,275.03","1,912,757.59","2,824,186.15",$1M to $10M,Class 2,Professional Services Transportation Utilities ,Administrative Management and General Management Consulting Services ,Professional Services
Company 574,El Segundo,Los Angeles,90245,N,54,,"5,236,121.00","6,617,671.00","7,417,127.00",$1M to $10M,Class 2,Professional Services ,Custom Computer Programming Services ,Professional Services
Company 575,Covina,Los Angeles,91792,N,1,,,,,up to $1M,Class 1,Food and Beverage Manufacturing Suppliers Technology ,Environmental Consulting Services,Food and Beverage
Company 576,CHATSWORTH,Los Angeles,91311,N,14,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Utilities ,Semiconductor and Related Device Manufacturing ,Manufacturing Suppliers
Company 577,Bell Gardens,Los Angeles,90201,L,14,,5.7,7.4,7.9,up to $1M,Class 1,Professional Services Utilities ,Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,Professional Services
Company 578,Culver City,Los Angeles,90230,I,15,,"2,667,603.00","2,209,708.00","3,418,154.00",$1M to $10M,Class 2,Professional Services ,Architectural Services,Professional Services
Company 579,Los Angeles,Los Angeles,90049,N,1,,,,,up to $1M,Class 1,Professional Services Technology ,Cognitive research and development services,Professional Services
Company 580,View Park,Los Angeles,90008,R,1,,"5,000.00","50,000.00","101,000.00",up to $1M,Class 1,Food and Beverage ,Coffee and Tea Manufacturing,Food and Beverage
Company 581,Los Angeles,Los Angeles,90004,R,7,,,,,$1M to $10M,Class 2,Professional Services ,Residential Remodelers ,Professional Services
Company 582,Gardena,Los Angeles,90247,L,12,,"2,232,374.77","3,000,288.81","2,796,230.75",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Automotive Consumer Products ",Commercial Printing (except Screen and Books) ,"Advertising, Entertainment, Media and Sports"
Company 583,El Monte,Los Angeles,91731,I,3,,,,,$10M to $50M,Class 3,Manufacturing Suppliers ,Telecommunications Resellers ,Manufacturing Suppliers
Company 584,Altadena,Los Angeles,91001,N,25,,"3,300,000.00","3,155,000.00","3,850,000.00",$1M to $10M,Class 2,Healthcare Professional Services Transportation ,Administrative Management and General Management Consulting Services ,Healthcare
Company 585,Los Angeles,Los Angeles,90071,L,1,,"494,341.00","486,214.00","781,139.00",up to $1M,Class 1,Professional Services Technology ,Other Computer Related Services,Professional Services
Company 586,Inglewood,Los Angeles,90301,L,70,,"28,532,267.00","17,906,747.00","15,816,171.00",$10M to $50M,Class 3,Professional Services Transportation Utilities ,Office Administrative Services,Professional Services
Company 587,LOS ANGELES ,Los Angeles,90045,L,97,,,,,$10M to $50M,Class 3,,"Automotive Body, Paint, and Interior Repair and Maintenance",
Company 588,Studio City,Los Angeles,91604,L,1,,,,,up to $1M,Class 1,,Commercial Photography,
Company 589,Altadena,Los Angeles,91001,N,2,,,,,up to $1M,Class 1,Financial Services Healthcare Professional Services ,Offices of Mental Health Practitioners (except Physicians) ,Financial Services
Company 590,CITY OF INDUSTRY,Los Angeles,91748,R,8,,,,,up to $1M,Class 1,,Furniture Merchant Wholesalers ,
Company 591,Los Angeles,Los Angeles,90071,R,7,,,,,$1M to $10M,Class 2,Financial Services Professional Services ,Offices of Certified Public Accountants,Financial Services
Company 592,Torrance,Los Angeles,90504,N,4,,"436,409.00","423,927.00","836,808.00",up to $1M,Class 1,Professional Services ,Investigation Services,Professional Services
Company 593,COMMERCE,Los Angeles,90040,N,9,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 594,alhambra,Los Angeles,91803,N,25,,"2,948,900.00","3,905,583.00",,$1M to $10M,Class 2,Consumer Products Manufacturing Suppliers Utilities ,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",Consumer Products
Company 595,City of Industry,Los Angeles,91748,I,150,,"93,699,947.00","102,635,924.00","192,650,460.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports Consumer Products Food and Beverage ","Data Processing, Hosting, and Related Services","Advertising, Entertainment, Media and Sports"
Company 596,Lynwood,Los Angeles,90262,R,36,,"5,059,790.00","5,101,920.00","6,242,724.12",$1M to $10M,Class 2,Manufacturing Suppliers ,Structural Steel and Precast Concrete Contractors,Manufacturing Suppliers
Company 597,Inglewood,Los Angeles,90302,L,1,,,,,up to $1M,Class 1,,Outdoor Advertising,
Company 598,Valencia,Los Angeles,91355,I,1,,,,,up to $1M,Class 1,,Other Management Consulting Services,
Company 599,Los Angeles,Los Angeles,90045,N,41,,"3,070,566.00","4,459,627.00","6,345,603.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services ","Accounting, Tax Preparation, Book Keeping and Payroll Services","Advertising, Entertainment, Media and Sports"
Company 600,Tarzana,Los Angeles,91356,N,3,,"357,304.00","361,481.00","466,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Automotive Consumer Products ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 601,City of Industry,Los Angeles,91748,I,6,,"1,374,821.00","1,374,822.00",,$1M to $10M,Class 2,Automotive Manufacturing Suppliers Transportation ,Rubber Product Manufacturing for Mechanical Use,Automotive
Company 602,CERRITOS,Los Angeles,90703,I,25,,"17,534,289.00","20,295,815.63","19,206,498.42",$10M to $50M,Class 3,Consumer Products ,Sporting and Recreational Goods and Supplies Merchant Wholesalers,Consumer Products
Company 603,Los Angeles,Los Angeles,90071,I,3,,,,,up to $1M,Class 1,,Other Activities Related to Real Estate ,
Company 604,Los Angeles,Los Angeles,90067,I,1,,,,,up to $1M,Class 1,Healthcare Professional Services Technology ,Family Planning Centers,Healthcare
Company 605,City of Industry,Los Angeles,91748,R,16,,,,,$1M to $10M,Class 2,Consumer Products Manufacturing Suppliers Professional Services ,Hardware Manufacturing,Consumer Products
Company 606,Los Angeles,Los Angeles,90013,L,6,,,,,up to $1M,Class 1,Consumer Products Food and Beverage ,Distilleries,Consumer Products
Company 607,El Segundo,Los Angeles,90245,N,120,,"31,513,565.00","28,482,151.00","27,130,659.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Retail and Apparel Technology ",Other Computer Related Services,"Advertising, Entertainment, Media and Sports"
Company 608,Sun Valley,Los Angeles,91352,N,2,,"535,730.94",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Food and Beverage ",Professional and Management Development Training ,"Advertising, Entertainment, Media and Sports"
Company 609,City of Industry,Los Angeles,91745,N,2,,,,,up to $1M,Class 1,Financial Services ,Commercial Printing (except Screen and Books),Financial Services
Company 610,Los Angeles,Los Angeles,90048,I,14,,,,,up to $1M,Class 1,Manufacturing Suppliers ,Industrial Supplies Merchant Wholesalers,Manufacturing Suppliers
Company 611,LOS ANGELES,Los Angeles,90015,N,6,,"3,911,851.00","3,626,649.00","3,362,927.00",$1M to $10M,Class 2,Retail and Apparel ,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",Retail and Apparel
Company 612,Los Angeles,Los Angeles,90230,N,3,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Sound Recording Studios,"Advertising, Entertainment, Media and Sports"
Company 613,Los Angeles,Los Angeles,90057,N,18,,"7,000,000.00","4,000,000.00","3,000,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 614,Lynwood,Los Angeles,90262,N,126,,,,,$10M to $50M,Class 3,Automotive Consumer Products Manufacturing Suppliers ,"General Freight Trucking, Long-Distance, Truckload",Automotive
Company 615,Redondo Beach,Los Angeles,90278,N,2,,,,,$1M to $10M,Class 2,,Custom Computer Programming Services,
Company 616,Industry,Los Angeles,91746,N,434,,"88,396,527.00","91,954,652.00","111,898,744.00",over $50M,Class 4,Consumer Products Manufacturing Suppliers ,Flat Glass Manufacturing,Consumer Products
Company 617,Duarte,Los Angeles,91010,N,1,,,,,up to $1M,Class 1,,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",
Company 618,Glendale,Los Angeles,91204,L,1,,,,,up to $1M,Class 1,Professional Services ,Offices of Real Estate Agents and Brokers,Professional Services
Company 619,Culver City,Los Angeles,90230,R,5,,,,,$1M to $10M,Class 2,Healthcare ,Temporary Help Services,Healthcare
Company 620,Diamond Bar,Los Angeles,91765,R,1,,,,,up to $1M,Class 1,,Other Cut and Sew Apparel Manufacturing,
Company 621,Diamond Bar,Los Angeles,91765,I,2,,"524,000.00",,,up to $1M,Class 1,Manufacturing Suppliers ,Electric Power Distribution,Manufacturing Suppliers
Company 622,Los Angeles,Los Angeles,90017,R,18,,"3,151,793.00","3,500,000.00","3,270,500.00",$1M to $10M,Class 2,Utilities ,Offices of Lawyers,Utilities
Company 623,Los Angeles ,Los Angeles,90065,R,55,,"11,537,438.00","12,582,818.00","14,490,920.00",$10M to $50M,Class 3,Food and Beverage Manufacturing Suppliers ,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",Food and Beverage
Company 624,Alhambra,Los Angeles,91803,I,10,,"2,640,529.00",,,$1M to $10M,Class 2,Consumer Products Manufacturing Suppliers ,Upholstered Household Furniture Manufacturing,Consumer Products
Company 625,Alhambra,Los Angeles,91803,N,6,,"1,157,304.00","814,041.00","952,632.00",up to $1M,Class 1,Financial Services Food and Beverage Healthcare ,Engineering Services,Financial Services
Company 626,Long Beach,Los Angeles,90806,L,1,,,,,up to $1M,Class 1,Food and Beverage Healthcare Professional Services ,Electrical Contractors and Other Wiring Installation Contractors,Food and Beverage
Company 627,Gardena ,Los Angeles,90249,L,80,,"23,500,000.00","28,000,000.00","43,000,000.00",$10M to $50M,Class 3,Professional Services Transportation Utilities ,Electrical Contractors and Other Wiring Installation Contractors,Professional Services
Company 628,Los Angeles,Los Angeles,90021,N,2,,,,,$1M to $10M,Class 2,Consumer Products Retail and Apparel ,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",Consumer Products
Company 629,Northridge,Los Angeles,91324,N,1,,"147,649.00","5,198.00",,up to $1M,Class 1,Retail and Apparel ,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",Retail and Apparel
Company 630,LOS ANGELES,Los Angeles,90011,L,18,,,,,$10M to $50M,Class 3,Retail and Apparel ,Men's and Boys' Cut and Sew Apparel Manufacturing,Retail and Apparel
Company 631,City of Industry,Los Angeles,91745,N,200,,"23,824,026.00","31,189,116.00","31,050,373.00",$10M to $50M,Class 3,Consumer Products Retail and Apparel Transportation ,"General Freight Trucking, Long-Distance, Less Than Truckload",Consumer Products
Company 632,Hawthorne,Los Angeles,90250,N,1,,,,,up to $1M,Class 1,Healthcare Retail and Apparel ,"Cosmetics, Beauty Supplies, and Perfume Stores",Healthcare
Company 633,Whittier,Los Angeles,90605,I,3,,,,,$1M to $10M,Class 2,Consumer Products ,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,Consumer Products
Company 634,Inglewood,Los Angeles,90302,R,1,,,,,up to $1M,Class 1,Professional Services ,Architectural Services,Professional Services
Company 635,South Pasadena,Los Angeles,91030,L,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Automotive Food and Beverage ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 636,Los Angeles,Los Angeles,90068,N,21,,"3,864,664.00","4,303,592.00","4,712,378.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Graphic Design Services,"Advertising, Entertainment, Media and Sports"
Company 637,La Mirada,Los Angeles,90638,N,6,,,,,up to $1M,Class 1,Technology ,Fiber Optic Cable Manufacturing ,Technology
Company 638,Encino,Los Angeles,91436,N,2,,,"29,568.10","33,656.40",up to $1M,Class 1,Food and Beverage ,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",Food and Beverage
Company 639,Sherman Oaks,Los Angeles,91403,N,5,,"1,422,509.00","1,682,332.00","2,130,000.00",$1M to $10M,Class 2,Healthcare Retail and Apparel Technology ,Custom Computer Programming Services,Healthcare
Company 640,Compton,Los Angeles,90220,R,39,,"13,402,450.00","9,215,850.36","12,309,475.60",$10M to $50M,Class 3,Automotive Petrochemical and Energy ,Commercial and Institutional Building Construction,Automotive
Company 641,Los Angeles,Los Angeles,90071,I,1,,,,,up to $1M,Class 1,Automotive Consumer Products Utilities ,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Automotive
Company 642,GARDENA,Los Angeles,90248,L,28,,"4,749,006.00","3,952,662.00","7,833,709.00",$1M to $10M,Class 2,Utilities ,Electrical Contractors and Other Wiring Installation Contractors,Utilities
Company 643,Los Angeles,Los Angeles,90071,N,2,,"405,490.00","141,829.00","74,473.00",up to $1M,Class 1,Professional Services ,Administrative Management and General Management Consulting Services,Professional Services
Company 644,Westlake Village,Los Angeles,91361,N,3,,,,,up to $1M,Class 1,Retail and Apparel Transportation Utilities ,"Process, Physical Distribution, and Logistics Consulting Services",Retail and Apparel
Company 645,Los Angeles,Los Angeles,90066,N,9,,,,,up to $1M,Class 1,Healthcare Technology ,Employment Placement Agencies,Healthcare
Company 646,Montebello,Los Angeles,90640,R,20,,"619,608.00","8,256,298.00","10,678,084.00",$10M to $50M,Class 3,Healthcare Professional Services ,Professional Organizations,Healthcare
Company 647,Pomona,Los Angeles,91768,L,1,,,,,up to $1M,Class 1,Food and Beverage Retail and Apparel Utilities ,"Plumbing, Heating, and Air-Conditioning Contractors",Food and Beverage
Company 648,Los Angeles,Los Angeles,90041,N,4,,,,,up to $1M,Class 1,Consumer Products Manufacturing Suppliers Retail and Apparel ,Other Industrial Machinery Manufacturing,Consumer Products
Company 649,Marina del Rey,Los Angeles,90292,I,3,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Engineering Services,"Advertising, Entertainment, Media and Sports"
Company 650,Valencia,Los Angeles,91355,R,65,,,"17,792,625.00","28,733,440.00",$10M to $50M,Class 3,Transportation ,"General Freight Trucking, Local",Transportation
Company 651,Los Angeles,Los Angeles,90028,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 652,Torrance,Los Angeles,90503,R,5,,,,,$1M to $10M,Class 2,Food and Beverage Professional Services Retail and Apparel ,Architectural Services,Food and Beverage
Company 653,Irwindale,Los Angeles,91706,N,1,,,,,up to $1M,Class 1,Healthcare ,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Healthcare
Company 654,Woodland Hills,Los Angeles,91367,N,3,,"3,291,375.83","5,442,159.08","5,370,028.37",$1M to $10M,Class 2,Consumer Products Manufacturing Suppliers Retail and Apparel ,Commercial Printing (except Screen and Books),Consumer Products
Company 655,Cerritos,Los Angeles,90703,N,31,,,,,up to $1M,Class 1,Healthcare Professional Services ,Temporary Help Services,Healthcare
Company 656,Los Angeles,Los Angeles,90045,I,158,,"121,868,134.00","148,744,000.00","166,343,001.00",over $50M,Class 4,Consumer Products Manufacturing Suppliers ,All Other Plastics Product Manufacturing,Consumer Products
Company 657,Covina,Los Angeles,91722,N,9,,"3,000,000.00","4,734,840.00","5,000,000.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Manufacturing Suppliers ,General Line Grocery Merchant Wholesalers ,Consumer Products
Company 658,Los Angeles,Los Angeles,90036,N,7,,"683,000.00","664,000.00","1,092,000.00",$1M to $10M,Class 2,Food and Beverage Professional Services Retail and Apparel ,Interior Design Services,Food and Beverage
Company 659,Los Angeles,Los Angeles,90012,R,488,,"96,000,000.00","86,939,196.00",,over $50M,Class 4,Professional Services Utilities ,Computer Systems Design Services,Professional Services
Company 660,Walnut,Los Angeles,91789,I,4,,"1,093,210.00","987,085.00","808,623.00",up to $1M,Class 1,Professional Services ,Engineering Services,Professional Services
Company 661,LOS ANGELES,Los Angeles,90021,N,171,,"157,834,000.00","146,969,000.00","140,821,000.00",over $50M,Class 4,Food and Beverage ,Fresh Fruit and Vegetable Merchant Wholesalers,Food and Beverage
Company 662,VAN NUYS,Los Angeles,91406,L,1,,,,,up to $1M,Class 1,Professional Services ,Security Guards and Patrol Services,Professional Services
Company 663,Long Beach,Los Angeles,90806,N,3,,"280,181.00","303,759.00","959,476.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Retail and Apparel ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 664,Cerritos,Los Angeles,90703,N,2,,"150,192.00","173,217.00","171,975.00",up to $1M,Class 1,Healthcare Retail and Apparel ,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Healthcare
Company 665,Glendale,Los Angeles,91203,L,2,,"62,183.00",,,up to $1M,Class 1,Healthcare Professional Services Transportation ,Computer Systems Design Services,Healthcare
Company 666,Inglewood,Los Angeles,90305,R,2,,,,,$1M to $10M,Class 2,Retail and Apparel Utilities ,"Brick, Stone, and Related Construction Material Merchant Wholesalers",Retail and Apparel
Company 667,Glendora,Los Angeles,91740,N,3,,,,,up to $1M,Class 1,Financial Services Professional Services Transportation ,Other Management Consulting Services,Financial Services
Company 668,TORRANCE,Los Angeles,90501,N,26,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Technology ,Machine Shops,Manufacturing Suppliers
Company 669,Manhattan Beach,Los Angeles,90266,I,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Teleproduction and Other Postproduction Services,"Advertising, Entertainment, Media and Sports"
Company 670,Los Angeles ,Los Angeles,90071,I,1,,,,,up to $1M,Class 1,Food and Beverage Healthcare Professional Services ,Investment Banking and Securities Dealing,Food and Beverage
Company 671,Los Angeles,Los Angeles,90017,R,17,,"4,179,930.00","4,818,598.00","5,623,882.00",$1M to $10M,Class 2,Consumer Products Retail and Apparel Technology ,Offices of Lawyers,Consumer Products
Company 672,CERRITOS,Los Angeles,90703,N,2,,"14,547,077.72",,,$10M to $50M,Class 3,Manufacturing Suppliers Petrochemical and Energy Utilities ,Metal Service Centers and Other Metal Merchant Wholesalers,Manufacturing Suppliers
Company 673,Sun Valley,Los Angeles,91352,L,5,,,,,up to $1M,Class 1,Professional Services ,Landscaping Services,Professional Services
Company 674,los angeles,Los Angeles,90015,I,1,,,,,up to $1M,Class 1,Professional Services Technology ,Internet Publishing and Broadcasting and Web Search Portals,Professional Services
Company 675,Glendora,Los Angeles,91741,N,1,,"303,425.00","321,268.00","359,405.00",up to $1M,Class 1,Healthcare Professional Services Retail and Apparel ,Custom Computer Programming Services,Healthcare
Company 676,Long Beach,Los Angeles,90802,R,3,,"1,093,101.00","1,159,097.00","1,073,919.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services Utilities ",Engineering Services,"Advertising, Entertainment, Media and Sports"
Company 677,Pomona,Los Angeles,91768,L,1,,"356,400.00","242,638.00","280,000.00",up to $1M,Class 1,Financial Services Technology Utilities ,Administrative Management and General Management Consulting Services,Financial Services
Company 678,Glendale,Los Angeles,91206,R,2,,,,,up to $1M,Class 1,Financial Services Professional Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 679,Azusa,Los Angeles,91702,L,6,,,,,up to $1M,Class 1,Professional Services ,Environmental Consulting Services,Professional Services
Company 680,Glendale,Los Angeles,91203,N,38,,"5,527,858.00","6,531,039.00","7,751,030.00",$1M to $10M,Class 2,Professional Services ,Engineering Services,Professional Services
Company 681,Los Angeles,Los Angeles,90027,N,14,,"3,345,240.00","4,527,390.00","4,722,681.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 682,Calabasas,Los Angeles,91302,N,33,,,,,up to $1M,Class 1,Healthcare Technology ,Software Publishers,Healthcare
Company 683,City of Industry,Los Angeles,91744,R,44,,"10,886,246.00","11,110,947.00","11,394,799.00",$10M to $50M,Class 3,Professional Services Transportation Utilities ,Engineering Services,Professional Services
Company 684,Los Angeles,Los Angeles,90066,N,1,,,,,up to $1M,Class 1,Technology Transportation Utilities ,Current-Carrying Wiring Device Manufacturing,Technology
Company 685,Reseda,Los Angeles,91335,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Commercial Photography,"Advertising, Entertainment, Media and Sports"
Company 686,LOS ANGELES,Los Angeles,90069,N,35,,"8,252,693.00","15,883,484.00","19,659,032.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Food and Beverage Professional Services ",Administrative Management and General Management Consulting Services ,"Advertising, Entertainment, Media and Sports"
Company 687,Santa Fe Springs,Los Angeles,90670,R,12,,"1,599,966.67","1,142,771.63",,$1M to $10M,Class 2,Professional Services ,238330 - Flooring Contractors,Professional Services
Company 688,Santa Fe Springs,Los Angeles,90670,I,56,,"7,451,812.00","11,487,952.00",,$10M to $50M,Class 3,Consumer Products Retail and Apparel ,Upholstered Household Furniture Manufacturing,Consumer Products
Company 689,La Crescenta,Los Angeles,91214,N,3,,"640,927.00","604,604.00","456,872.00",up to $1M,Class 1,Professional Services Transportation Utilities ,Management Consulting Services,Professional Services
Company 690,Cerritos,Los Angeles,90703,R,3,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Petrochemical and Energy ,Industrial Supplies Merchant Wholesalers,Manufacturing Suppliers
Company 691,Azusa,Los Angeles,91702,R,12,,"1,771,817.06",,,$1M to $10M,Class 2,Professional Services ,Industrial Building Construction,Professional Services
Company 692,Valencia,Los Angeles,91355,N,23,,,,,$1M to $10M,Class 2,Food and Beverage ,Water Supply and Irrigation Systems,Food and Beverage
Company 693,Palmdale,Los Angeles,93551,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Fine Arts Schools,"Advertising, Entertainment, Media and Sports"
Company 694,LOS ANGELES,Los Angeles,90036,I,1,,,,,up to $1M,Class 1,Consumer Products Retail and Apparel ,Stationery Product Manufacturing,Consumer Products
Company 695,POMONA,Los Angeles,91768,N,7,,"6,119,652.74","3,004,796.78",,$1M to $10M,Class 2,Consumer Products ,Residential Electric Lighting Fixture Manufacturing,Consumer Products
